trial,subject,condition,tsec,arousal,arousal_mean,above,above_adaptive,sustained,rate,excess_fixed,excess_adaptive,event,a100,am100,strat
3_21,3,1,60,99.08190434094776,99.53233412617234,0.0,0.0,0.0,0.7318434745702003,0.0,0.0,1.0,0.9908190434094776,0.9953233412617234,53+
3_4,3,3,0,0.0,0.20240829934033258,0.0,0.0,0.0,0.06750915557167997,0.0,0.0,0.0,0.0,0.0020240829934033257,<30
3_4,3,3,5,6.463338120754217,24.750516206099007,0.0,0.0,1.0,6.97238606028026,0.0,0.0,0.0,0.06463338120754217,0.24750516206099007,<30
3_4,3,3,10,52.770936968440274,70.00899360436736,1.0,1.0,1.0,8.81120735947751,39.6866284472531,25.74589347466181,0.0,0.5277093696844027,0.7000899360436736,<30
3_4,3,3,15,95.45272980753757,98.38654454596052,1.0,1.0,1.0,4.033440412074045,78.82896580430912,57.41548870525319,0.0,0.9545272980753756,0.9838654454596052,<30
3_4,3,3,20,98.84144251389698,83.89912820361094,1.0,1.0,1.0,-5.0115693660028295,77.38704172233294,71.29207605270815,0.0,0.9884144251389698,0.8389912820361094,<30
3_4,3,3,25,60.416633404224484,75.65201987344592,1.0,1.0,1.0,1.4426316107896335,31.552519056500802,30.009879409313754,0.0,0.6041663340422448,0.7565201987344592,<30
3_4,3,3,30,82.5666630320766,80.15272054428968,1.0,1.0,1.0,-0.41920946805025305,42.42586289883951,48.92322157001643,0.0,0.825666630320766,0.8015272054428968,30-40
3_4,3,3,35,92.20267865396116,94.06573840020789,1.0,1.0,1.0,5.990735735532333,35.630325044327165,55.473878845483505,1.0,0.9220267865396116,0.9406573840020789,30-40
3_6,3,3,0,0.0,0.019285275385238422,0.0,0.0,0.0,0.0064291477412227165,0.0,0.0,0.0,0.0,0.00019285275385238422,<30
3_6,3,3,5,0.12177472706456063,2.928757759426291,0.0,0.0,0.0,0.9491896175994903,0.0,0.0,0.0,0.0012177472706456063,0.02928757759426291,<30
3_6,3,3,10,20.75072700969487,44.97985694318207,1.0,1.0,1.0,10.278237164297945,7.6664184885076985,8.107488426759872,0.0,0.2075072700969487,0.4497985694318207,<30
