subject,difficulty,condition,duration_s,final,peak,mean
14,1,1,31.046875,75.75932492649302,92.13126228112738,59.57881374845011
14,0,2,73.73828125,60.296727274389234,84.58225173203748,43.87466998676527
14,1,3,55.26953125,61.377173914428,98.35077664456517,56.06293793623302
14,0,1,65.5703125,26.907190820716796,98.6454722658701,46.148021657408606
14,1,3,33.1328125,93.71406008219299,96.22520285391,39.33408504259497
14,0,1,75.515625,22.04460128216431,99.51142939451094,37.98016366180888
14,1,2,21.16015625,78.00992083983736,93.20124711183774,72.84100072719131
15,1,1,59.1015625,56.626160075606265,84.98615220190584,36.21773943639334
15,0,3,53.1953125,98.37862060061775,99.99933373056544,43.06203053090692
15,1,2,43.09375,15.160073857520684,78.17950212821998,29.368593843020662
15,0,3,59.390625,98.62121194793417,99.70293393403949,55.28097092028252
15,1,2,37.09375,92.47508652438391,99.43863704030747,43.28765645357397
15,0,2,65.28515625,12.126759152097767,64.92388018067162,33.652159144118905
15,1,3,35.0625,18.25894751273349,76.13249346637724,32.421127910691325
15,0,2,67.2734375,96.14420651319564,98.86831975110604,35.59086950635117
15,1,3,67.08984375,30.701580527025026,63.328858672711974,33.33896214553234
15,0,1,63.34375,98.16517900251391,99.7584342618695,33.86641613901755
15,1,1,57.13671875,95.57961712211943,99.67866337330284,26.781099161590188
15,0,3,67.2109375,16.568993393008913,58.23135107991369,16.52900624316465
15,1,2,63.171875,66.4141748676982,89.10643766129024,19.93469033943197
15,0,1,89.48046875,42.4344465838503,70.29353288897994,34.59065501833024
15,1,3,67.05859375,20.42599220915916,86.49523356620712,37.4977298237627
15,0,2,17.0,15.80393269319442,43.64073644172167,11.888687650866073
15,1,1,35.09765625,46.833516216106254,61.91470803762976,18.389363976682226
15,0,2,65.40234375,63.17345385125109,75.54907704410746,28.18167347363591
15,1,3,43.1171875,93.62709246101004,99.50636985287356,17.70929449399705
15,0,3,67.4375,42.76157580308592,96.24561321525121,39.56660604281094
15,1,1,37.15234375,69.52117856086626,76.42106989733635,27.232982049828863
15,0,1,67.28515625,43.438258537380705,67.0785147654102,20.407958996902213
15,1,2,33.94140625,63.86868408185138,88.37910156345467,34.86653055091662
