trial,subject,k,arousal,event,excess_fixed,excess_adaptive,above,above_adaptive,sustained,rate,tsec,a100,strat,late
12_11,12,2,0.0067753144506993756,0.0,0.0,0.0,0.0,0.0,0.0,0.002258438150233125,4,6.775314450699376e-05,<30,0.0
12_11,12,3,1.122513526492672,0.0,0.0,0.0,0.0,0.0,0.0,0.3723296065542437,6,0.01122513526492672,<30,0.0
12_11,12,4,1.7599883506606648,0.0,0.0,0.0,0.0,0.0,0.0,0.5792848267963844,8,0.01759988350660665,<30,0.0
12_11,12,5,0.4679192031691207,0.0,0.0,0.0,0.0,0.0,0.0,-0.5975482339522573,10,0.004679192031691207,<30,0.0
12_11,12,6,0.12793205202913735,0.0,0.0,0.0,0.0,0.0,0.0,-0.2611500361488457,12,0.0012793205202913736,<30,0.0
12_11,12,7,0.3123153445751579,0.0,0.0,0.0,0.0,0.0,0.0,0.024025871781347175,14,0.0031231534457515794,<30,0.0
12_11,12,8,2.991420206721844,0.0,0.0,0.0,0.0,0.0,0.0,0.9528277766305814,16,0.02991420206721844,<30,0.0
12_11,12,9,13.284331286656691,0.0,0.0,0.4911480084937825,0.0,1.0,0.0,4.266817569895846,18,0.13284331286656692,<30,0.0
12_11,12,10,6.224837427314121,0.0,0.0,0.0,0.0,0.0,0.0,-1.2838491802702752,20,0.062248374273141206,<30,0.0
12_11,12,11,2.2017713167248596,0.0,0.0,0.0,0.0,0.0,0.0,-2.499825472437489,22,0.022017713167248595,<30,0.0
12_11,12,12,0.7079429788234901,0.0,0.0,0.0,0.0,0.0,0.0,-1.061110174984305,24,0.007079429788234901,<30,0.0
12_11,12,13,0.21757657718852133,0.0,0.0,0.0,0.0,0.0,0.0,-0.3392826676419983,26,0.0021757657718852134,<30,0.0
12_11,12,14,0.8143657921970777,0.0,0.0,0.0,0.0,0.0,0.0,0.14639391261675705,28,0.008143657921970778,<30,1.0
12_11,12,15,23.121598339336238,0.0,0.0,2.761102313946452,0.0,1.0,0.0,7.591201730169227,30,0.23121598339336238,30-34,1.0
12_11,12,16,67.05398425470743,0.0,19.393265233869684,20.37511236057274,1.0,1.0,0.0,20.783368813590776,32,0.6705398425470743,30-34,1.0
12_11,12,17,92.13363264117868,0.0,37.441538577896424,29.277387165610726,1.0,1.0,1.0,14.493880611024384,34,0.9213363264117868,30-34,1.0
12_11,12,18,97.84736957563356,1.0,35.11366469290514,25.83037284279451,1.0,1.0,1.0,5.285455667482441,36,0.9784736957563357,35-40,1.0
12_13,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,<30,0.0
12_13,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,<30,0.0
12_13,12,2,0.0037798582638770696,0.0,0.0,0.0,0.0,0.0,0.0,0.0012599527546256898,4,3.77985826387707e-05,<30,0.0
12_13,12,3,0.24354593848108108,0.0,0.0,0.0,0.0,0.0,0.0,0.08105067041098772,6,0.002435459384810811,<30,0.0
12_13,12,4,0.23561607918423708,0.0,0.0,0.0,0.0,0.0,0.0,0.060933961642527026,8,0.0023561607918423707,<30,0.0
12_13,12,5,0.7268602383791345,0.0,0.0,0.0,0.0,0.0,0.0,0.12577905566189512,10,0.007268602383791345,<30,0.0
12_13,12,6,1.1382734824424907,0.0,0.0,0.0,0.0,0.0,0.0,0.31549685103095965,12,0.011382734824424907,<30,0.0
12_13,12,7,5.805746233307308,0.0,0.0,0.0,0.0,0.0,0.0,1.5081381798930868,14,0.05805746233307308,<30,0.0
12_13,12,8,28.48181204590759,0.0,10.594642537115204,11.075061055510329,1.0,1.0,0.0,9.024541325866174,16,0.2848181204590759,<30,0.0
12_13,12,9,53.37092038011866,0.0,33.5669509015304,24.317684592527193,1.0,1.0,1.0,12.681416018846068,18,0.5337092038011866,<30,0.0
12_13,12,10,25.196770759161573,0.0,4.880387391810578,0.13884491685204559,1.0,1.0,1.0,-7.093333156785515,20,0.25196770759161574,<30,0.0
