subject,difficulty,condition,arousal,remaining,total,bin
2,1,1,45.50440955938036,9.078125,39.078125,"(45, 60]"
2,1,2,30.273219956095186,7.109375,37.109375,"(30, 45]"
2,0,3,7.266926179212895,31.67578125,61.67578125,"(0, 15]"
2,0,2,4.257688758881591,33.59765625,63.59765625,"(0, 15]"
2,1,1,60.33729775834333,17.06640625,47.06640625,"(60, 100]"
2,0,2,59.813131402967244,35.41015625,65.41015625,"(45, 60]"
2,1,1,48.21504721117928,17.09375,47.09375,"(45, 60]"
2,0,3,19.298686537704132,59.671875,89.671875,"(15, 30]"
2,1,3,10.582544524669995,25.29296875,55.29296875,"(0, 15]"
2,0,1,32.77207681578456,23.23828125,53.23828125,"(30, 45]"
2,1,1,11.592395146717902,7.01953125,37.01953125,"(0, 15]"
2,0,2,61.80766321026292,37.27734375,67.27734375,"(60, 100]"
2,1,3,4.193216514014148,15.1015625,45.1015625,"(0, 15]"
2,0,2,3.3471650617671704,11.33203125,41.33203125,"(0, 15]"
2,1,3,2.899647062076783,8.37890625,38.37890625,"(0, 15]"
3,0,2,98.26250500145731,1.1875,31.1875,"(60, 100]"
3,0,3,10.754538902158298,8.04296875,38.04296875,"(0, 15]"
3,1,1,97.29941398548621,3.1328125,33.1328125,"(60, 100]"
3,0,2,2.733916911809035,33.8828125,63.8828125,"(0, 15]"
3,1,3,75.65201987344592,7.41015625,37.41015625,"(60, 100]"
3,0,2,23.590954122896974,35.48828125,65.48828125,"(15, 30]"
3,1,3,41.074542769454,5.078125,35.078125,"(30, 45]"
3,0,1,12.617958617385579,47.546875,77.546875,"(0, 15]"
3,1,3,4.601288203818095,23.078125,53.078125,"(0, 15]"
3,0,2,87.1673332175649,7.37109375,37.37109375,"(60, 100]"
3,1,1,94.77555482566478,1.08984375,31.08984375,"(60, 100]"
3,0,3,64.98766845555186,23.3046875,53.3046875,"(60, 100]"
3,1,2,40.43251848582372,13.3984375,43.3984375,"(30, 45]"
3,0,1,0.31516380959325735,27.2734375,57.2734375,"(0, 15]"
3,0,2,45.61178246436157,33.44140625,63.44140625,"(45, 60]"
3,1,3,50.79068627966454,33.2421875,63.2421875,"(45, 60]"
3,0,3,61.66664254916735,39.38671875,69.38671875,"(60, 100]"
3,1,1,5.9662957215693115,5.0703125,35.0703125,"(0, 15]"
3,0,2,25.060096269458445,31.53125,61.53125,"(15, 30]"
3,1,3,12.913971888828485,33.1875,63.1875,"(0, 15]"
3,0,2,1.7824733489720839,31.36328125,61.36328125,"(0, 15]"
3,1,1,29.13601351730646,34.94140625,64.94140625,"(15, 30]"
4,1,3,51.97416359383544,27.0625,57.0625,"(45, 60]"
4,0,2,2.5607511031234105,49.41015625,79.41015625,"(0, 15]"
4,1,2,0.9561860068030615,5.0,35.0,"(0, 15]"
4,0,3,2.9224132128641713,37.33203125,67.33203125,"(0, 15]"
4,1,2,28.51847964576627,15.02734375,45.02734375,"(15, 30]"
4,0,1,1.2516778454205428,43.22265625,73.22265625,"(0, 15]"
4,1,1,9.288672522380505,13.02734375,43.02734375,"(0, 15]"
4,0,3,2.8009795872038508,35.23828125,65.23828125,"(0, 15]"
4,1,2,2.4110567476606315,11.0234375,41.0234375,"(0, 15]"
4,0,3,8.88835168704156,21.18359375,51.18359375,"(0, 15]"
4,1,2,3.7925859606340966,33.0859375,63.0859375,"(0, 15]"
4,0,1,21.408430854637235,9.08984375,39.08984375,"(15, 30]"
4,1,2,6.48853571144263,29.03515625,59.03515625,"(0, 15]"
4,0,1,2.3680262125852316,37.3046875,67.3046875,"(0, 15]"
4,1,3,10.466165261217183,19.01171875,49.01171875,"(0, 15]"
4,1,1,79.64926623807776,1.03125,31.03125,"(60, 100]"
4,0,3,4.323261244694832,59.38671875,89.38671875,"(0, 15]"
4,1,2,9.506900290753716,35.05078125,65.05078125,"(0, 15]"
4,0,1,4.7845949978314914,47.3046875,77.3046875,"(0, 15]"
4,1,2,40.00502373021824,2.96484375,32.96484375,"(30, 45]"
5,0,3,52.676137310761305,43.546875,73.546875,"(45, 60]"
5,1,2,32.46138063295799,15.14453125,45.14453125,"(30, 45]"
5,0,2,33.84855960850669,53.34375,83.34375,"(30, 45]"
5,1,1,38.957383262758604,1.03125,31.03125,"(30, 45]"
5,0,1,10.920006430334148,37.33203125,67.33203125,"(0, 15]"
5,1,3,19.224855145377905,15.21875,45.21875,"(15, 30]"
5,0,3,10.678950166279545,31.32421875,61.32421875,"(0, 15]"
5,1,3,5.871874082313427,15.16015625,45.16015625,"(0, 15]"
5,0,2,52.78636396179098,57.46875,87.46875,"(45, 60]"
5,1,2,49.15065919708605,33.1171875,63.1171875,"(45, 60]"
5,0,1,10.358966149702592,57.37109375,87.37109375,"(0, 15]"
5,1,1,8.703001442396971,35.15625,65.15625,"(0, 15]"
5,0,1,14.055879433986416,33.16015625,63.16015625,"(0, 15]"
5,0,3,4.313224257508358,21.37109375,51.37109375,"(0, 15]"
5,1,2,24.060694602147684,15.078125,45.078125,"(15, 30]"
5,0,2,3.993254685271549,41.51171875,71.51171875,"(0, 15]"
5,1,1,8.97412895299877,33.18359375,63.18359375,"(0, 15]"
5,0,1,8.65253618285341,41.359375,71.359375,"(0, 15]"
5,0,2,35.716344284496174,33.32421875,63.32421875,"(30, 45]"
5,1,3,42.34995118904074,7.08984375,37.08984375,"(30, 45]"
5,0,1,11.351329448323366,55.41015625,85.41015625,"(0, 15]"
5,1,2,33.99096579378089,19.078125,49.078125,"(30, 45]"
5,0,3,9.59561107686332,34.6640625,64.6640625,"(0, 15]"
